misty	"groove" holmes	7/16/66 Prestige	
think i'm in love	eddie money	columbia	02964
two tickets to paradise	eddie money	columbia	10765
walk on water	eddie money	columbia	08060
you've really got a hold on me	eddie money	columbia	10842
party all the time	eddie murphy	columbia	05609
put your mouth on me	eddie murphy	columbia	68897
cha-hua-hua	eddie platt	gone	5031
come dance with me	eddie quinteros	brent	7009
drivin' my life away	eddie rabbitt	elektra	46656
every which way but loose	eddie rabbitt	elektra	45554
gone too far	eddie rabbitt	elektra	46613
i don't know where to start	eddie rabbitt	elektra	47435
i love a rainy night	eddie rabbitt	elektra	47066
rocky mountain music	eddie rabbitt	elektra	45315
someone could lose a heart tonight	eddie rabbitt	elektra	47239
step by step	eddie rabbitt	elektra	47174
suspicions	eddie rabbitt	elektra	46053
you and i	eddie rabbitt	elektra	69936
you can't run from love	eddie rabbitt	warner brothers	29712
you don't love me anymore	eddie rabbitt	elektra	45488
clock	eddie rambeau	dynovoice	225
concrete and clay	eddie rambeau	dynovoice	204
i'm the sky	eddie rambeau	dynovoice	217
all our tomorrows	eddie schwartz	atco	7342
here comes heaven	eddy arnold	RCA	9368
here comes the rain, baby	eddy arnold	RCA	9437
i want to go with you	eddy arnold	RCA	8749
it's over	eddy arnold	RCA	9525
lonely again	eddy arnold	RCA	9080
make the world go away	eddy arnold	RCA	8679
misty blue	eddy arnold	RCA	9182
mutual admiration society	eddy arnold	RCA	6708
somebody like me	eddy arnold	RCA	8965
tennessee stud	eddy arnold	RCA	7542
the last word in lonesome is me	eddy arnold	RCA	8818
the tip of my fingers	eddy arnold	RCA	8869
then you can tell me goodbye	eddy arnold	RCA	9606
they don't make love like they used to	eddy arnold	RCA	9667
turn the world around	eddy arnold	RCA	9265
what's he doing in my world	eddy arnold	RCA	8516
electric avenue	eddy grant	portrait	03793
i don't wanna dance	eddy grant	portrait	04039
romancing the stone	eddy grant	portrait	04433
be anything	eddy howard orchestra	mercury	5815
sin	eddy howard orchestra	mercury	5711
to think you've chosen me	eddy howard orchestra	mercury	5517
hot thang	eddy senay	Sussex	230
easy street	edgar winter group	epic	50034
frankenstein	edgar winter group	epic	10967
free ride	edgar winter group	epic	11024
hangin’ around	edgar winter group	epic	11069
i can’t turn you loose	edgar winter group	epic	10855
keep playin’ that rock ’n’ roll	edgar winter group	epic	10788
river’s risin’	edgar winter group	epic	11143
circle	edie brickell & new bohemians	Geffen	27580
what i am	edie brickell & new bohemians	Geffen	27696
it's up to you petula	edison lighthouse	bell	960
love grows (where my rosemary goes)	edison lighthouse	bell	858
that burning love	edmund sylvers	Casablanca	2270
colonel bogey	edmundo ros	london	1779
i talk to the trees	edmundo ros	london	1831
rama lama ding dong	edsels	twin	700
close your eyes	edward bear	capitol	3581
last song	edward bear	capitol	3452
walking on the beach	edward bear	capitol	3683
you me and mexico	edward bear	capitol	2801
kookie kookie (lend me your comb)	edward byrnes	Warner Brothers	5047
kookie's mad pad	edward byrnes	Warner Brothers	5087
like i love you	edward byrnes	Warner Brothers	5087
kookie, kookie (lend me your comb)	edward byrnes & connie stevens	Warner	5047
lay down (candles in the rain)	edwin hawkins singers	buddah	167
oh happy day	edwin hawkins singers	pavillion	20001
abyssinia jones	edwin starr	Granite	532
agent double-o-soul	edwin starr	ric-tic	103
back street	edwin starr	ric-tic	107
contact	edwin starr	20th century	2396
funky music sho nuff turns me on	edwin starr	gordy	7107
h.a.p.p.y.radio	edwin starr	20th Century	2408
headline news	edwin starr	ric-tic	114
i am the man for you baby	edwin starr	gordy	7071
i'm still a struggling man	edwin starr	Gordy	7087
i’m just a struggling man	edwin starr	gordy	7087
oh how happy	edwin starr	gordy	7090
pain	edwin starr	Granite	522
stop her on sight (s.o.s)	edwin starr	ric-tic	109
stop the war now	edwin starr	gordy	7104
there you go	edwin starr	soul	35103
time	edwin starr	Gordy	7097
twenty-five miles	edwin starr	gordy	7083
war	edwin starr	gordy	7101
you've got my soul on fire	edwin starr	Motown	1276
dial that telephone (parts i & ii)	effie smith	Duo Disc	107
harper valley p.t.a. gossip	effie smith	Eee Cee	100
kiss you (when it's dangerous)	eight seconds	polydor	885352
baby baby	eighth wonder	wtg	68610
cross my heart	eighth wonder	wtg	08036
if i knew you were coming i'd've baked you a cake	eileen barton	Mercury	5392
miracle of love	eileen rodgers	columbia	40708
the wall	eileen rodgers	columbia	40850
treasure of your love	eileen rodgers	columbia	41214
alfie	eivets rednow	gordy	7076
brown eyed girl	el chicano	kapp	2173
tell her she's lovely	el chicano	mca	40104
viva tirado (part 1)	el chicano	kapp	2085
viva tirado - part i	el chicano	Kapp	2085
cocomotion	el coco	avi	147
dancing in paradise	el coco	AVI	203
can't get enough	el debarge	Reprise	18155
love always	el debarge	gordy	1857
real love	el debarge	Motown	1948
slide	el debarge	Reprise	18407
somebody loves you	el debarge	Motown	1966
someone	el debarge	Gordy	1867
the heart is not so smart	el debarge	gordy	1822
the secret garden	el debarge	qwest	19992
who's johnny	el debarge	gordy	1842
you know what i like	el debarge	Warner	18901
you wear it well	el debarge	gordy	1804
where is my love?	el debarge featuring babyface	Reprise	18140
the heart is not so smart	el debarge with debarge	Gordy	1822
you wear it well	el debarge with debarge	Gordy	1804
at my front door	el dorados	vee-jay	147
it's the real thing (part 1)	electric express	linco	1001
keem-o-sabe	electric indian	united artists	50563
land of 1000 dances	electric indian	united artists	50613
all over the world	electric light orchestra	mca	41289
calling america	electric light orchestra	cbs associated	05766
can't get it out of my head	electric light orchestra	united artists	573
confusion	electric light orchestra	jet	5064
daybreaker	electric light orchestra	united artists	405
do ya	electric light orchestra	united artists	939
don't bring me down	electric light orchestra	jet	5060
evil woman	electric light orchestra	united artists	729
hold on tight	electric light orchestra	jet	02408
i'm alive	electric light orchestra	mca	41246
last train to london	electric light orchestra	jet	5067
livin' thing	electric light orchestra	united artists	888
mr. blue sky	electric light orchestra	jet	5050
rock 'n' roll is king	electric light orchestra	jet	03964
roll over beethoven	electric light orchestra	united artists	173
shine a little love	electric light orchestra	jet	5057
showdown	electric light orchestra	united artists	337
strange magic	electric light orchestra	united artists	770
sweet talkin' woman	electric light orchestra	jet	1145
telephone line	electric light orchestra	united artists	1000
turn to stone	electric light orchestra	jet	1099
twilight	electric light orchestra	jet	02559
xanadu	electric light orchestra	mca	41285
get me to the world on time	electric prunes	reprise	0564
i had too much to dream (last night)	electric prunes	reprise	0532
getting away with it	electronic	warner brothers	19880
goodnight	elegants	apt	25017
little star	elegants	apt	25005
please believe me	elegants	apt	25017
mongoose	elephant's memory	metromedia	182
hollywood hot	eleventh hour	20th century	2215
darling baby	elgins	v.i.p.	25029
heaven must have sent you	elgins	v.i.p.	25037
put yourself in my place	elgins	v.i.p.	25029
forgive me for dreaming	elisa fiorillo	chrysalis	43237
how can i forget you	elisa fiorillo	chrysalis	43189
on the way up	elisa fiorillo	chrysalis	23497
