pacific / cubik	808 state	21	3	1998-05-15
pacific state	808 state	10	11	1989-11-17
plan 9	808 state	50	2	1993-01-29
the bomb / nimbus	808 state	59	1	1992-08-28
the extended pleasu of dance ep	808 state	56	2	1990-03-30
one in ten	808 state and ub40	17	8	1992-12-11
ooops ft bjork	808 state featuring bjork	42	3	1991-04-26
wishing on a star	88.3 feat lisa may	61	2	1995-07-14
good 2 go	888	42	1	2005-06-10
all for me all for you	9.9	53	3	1985-07-05
a little bit mo	911	1	11	1999-01-22
all i want is you	911	4	10	1998-04-03
bodyshakin'	911	3	9	1997-05-02
don't make me wait	911	10	11	1996-11-08
how do you want me to love you?	911	10	10	1998-07-03
love sensation	911	21	4	1996-08-09
mo than a woman	911	2	15	1998-01-02
night to member	911	38	2	1996-05-10
party people...friday night	911	5	10	1997-10-31
private number	911	3	12	1999-05-14
the day we find love	911	4	11	1997-02-21
the journey	911	3	12	1997-07-11
wonderland	911	13	7	1999-10-22
4 commitments	911 (dance)	100	1	2001-03-30
because of you	98 degrees	36	2	1999-03-12
give me just one night (una noche)	98 degrees	61	1	2000-12-01
invisible man	98 degrees	66	2	1997-11-28
the hardest thing	98 degrees	29	2	2000-03-10
true to your heart	98 degrees ft stevie wonder	51	2	1998-10-30
girl is mine (destiny's child & brandy)	99 souls	5	29	2015-11-13
found out too late	999	69	2	1979-10-26
homicide	999	40	3	1978-11-24
indian servation	999	51	4	1981-11-13
lil d riding hood	999	59	3	1981-07-17
obsessed	999	71	1	1981-05-15
hooked	99th floor elevators	66	2	2000-04-07
hooked	99th floor elevators ft tony d	28	2	1995-08-11
i'll be the	99th floor elevators/t de vit	37	2	1996-03-29
96 tears	? and the mysterians	37	4	1966-11-18
better off with him	a	52	1	2005-07-29
foghorn	a	63	2	1998-02-06
good time	a	23	3	2003-09-12
i love lake tahoe	a	59	1	1999-08-20
nothing	a	9	6	2002-03-01
number one	a	47	2	1998-04-10
old folks	a	54	2	1999-06-04
rush song	a	35	2	2005-05-13
sing-a-long	a	57	2	1998-06-26
something's going on	a	51	2	2002-11-29
starbucks	a	20	6	2002-05-31
summer on the underground	a	72	2	1998-10-23
don't believe a word	a bigger splash	76	3	1984-07-27
bleed	a boogie wit da hoodie	82	1	2020-06-26
look back at it	a boogie wit da hoodie	51	9	2019-01-11
me and my guitar	a boogie wit da hoodie	99	1	2020-02-21
sects	a boogie wit da hoodie	88	1	2023-03-31
thug love	a boogie wit da hoodie	91	1	2020-02-21
swervin	a boogie wit da hoodie/6ix9ine	27	21	2019-01-04
startender	a boogie wit da hoodie/offset	84	4	2019-01-11
numbers	a boogie/ricch/gunna/london	53	2	2020-02-21
i can buy you	a camp	46	2	2001-08-31
good together	a certain ratio	81	2	1990-03-02
the big e (i won't stop loving you)	a certain ratio	96	2	1989-06-23
won't stop loving you	a certain ratio	55	3	1990-06-15
(it's not me) talking	a flock of seagulls	78	4	1983-09-02
i ran	a flock of seagulls	43	6	1982-03-26
nightmas	a flock of seagulls	53	4	1983-04-15
space age love song	a flock of seagulls	34	6	1982-06-11
the mo you live, the mo you love	a flock of seagulls	26	11	1984-07-13
transfer affection	a flock of seagulls	38	5	1983-06-24
who's that girl (she's got it)	a flock of seagulls	66	3	1985-10-18
wishing (if i had a photograph of you)	a flock of seagulls	10	13	1982-01-01
new tomorrow	a friend in london	78	1	2011-05-27
say something	a great big world/aguilera	4	28	2014-02-28
automanikk	a guy called gerald	84	3	1990-05-04
fx / eyes of sorrow	a guy called gerald	52	5	1989-12-15
voodoo ray	a guy called gerald	12	20	1989-03-24
fedom	a homeboy a hippie and a funki dredd	68	5	1990-12-28
he we go again	a homeboy a hippie and a funki dredd	57	2	1994-01-07
total confusion	a homeboy a hippie and a funki dredd	56	3	1990-10-12
endless art	a house	46	3	1992-06-12
he come the good times	a house	37	2	1994-09-30
take it easy on me	a house	55	2	1992-08-07
why me?	a house	52	2	1994-06-24
niall quinn's disco pants	a love supreme	59	2	1999-04-16
bafoot in the head	a man called adam	60	7	1990-09-14
bafoot in the head 04	a man called adam	97	1	2004-08-20
3 libras	a perfect circle	49	2	2001-01-12
the hollow	a perfect circle	72	2	2000-11-17
the fantasy	a project	93	1	2001-02-02
flesh	a split second	99	1	1989-03-31
flesh	a split second	68	1	1991-12-13
boogie oogie oogie	a taste of honey	3	16	1978-06-16
boogie oogie oogie	a taste of honey	59	4	1985-05-10
halfway around the world	a teens	30	2	2001-10-26
mamma mia	a teens	12	9	1999-09-03
super trouper	a teens	21	10	1999-01-01
upside down	a teens	10	7	2001-05-25
1nce again	a tribe called quest	34	2	1996-07-12
bonita applebum	a tribe called quest	47	3	1990-08-17
can i kick it?	a tribe called quest	15	7	1991-01-18
find a way	a tribe called quest	41	2	1998-08-28
i left my wallet in el segundo	a tribe called quest	86	1	1991-04-05
oh my god	a tribe called quest	81	2	1994-06-10
the jam ep	a tribe called quest	61	1	1997-08-22
stssed out	a tribe called quest/evans...	33	2	1996-11-22
john kettley (is a weatherman)	a tribe of toffs	21	7	1988-01-01
just round	a very good friend of mine	55	1	1999-07-02
ripped in 2 minutes	a vs b	49	2	1998-05-08
trippin' on your love	a way of life	55	4	1990-04-20
whole wild world	a'me lorain	90	1	1990-03-23
enjoy yourself	a+	5	11	1999-02-12
analogue (all i want)	a-ha	10	5	2006-02-03
angel	a-ha	41	4	1993-09-17
butterfly butterfly (the last hurrah)	a-ha	98	1	2010-10-01
cosy prisons	a-ha	39	2	2006-04-28
cry wolf	a-ha	5	9	1986-12-05
crying in the rain	a-ha	13	7	1990-10-12
dark is the night	a-ha	19	4	1993-06-04
early morning	a-ha	78	2	1991-03-08
foot of the mountain	a-ha	66	3	2009-07-31
hunting high and low	a-ha	5	12	1986-06-13
i call your name	a-ha	44	6	1990-12-14
i've been losing you	a-ha	8	7	1986-10-03
lifelines	a-ha	78	1	2002-07-19
manhattan skyline	a-ha	13	6	1987-02-27
move to memphis	a-ha	47	2	1991-10-25
shapes that go together	a-ha	27	4	1994-03-25
stay on these roads	a-ha	5	6	1988-03-25
summer moved on	a-ha	33	2	2000-06-02
take on me	a-ha	2	21	1985-09-27
the blood that moves the body	a-ha	25	4	1988-06-17
the living daylights	a-ha	5	9	1987-07-03
the sun always shines on tv	a-ha	1	12	1985-12-27
touchy!	a-ha	11	7	1988-08-26
train of thought	a-ha	8	10	1986-04-04
you a the one	a-ha	13	11	1988-01-01
sos	a-studio ft polina	64	5	2006-07-07
memories and dams	a.d.a.m. featuring amy	80	1	1996-02-23
zombie	a.d.a.m. featuring amy	16	11	1995-06-30
warning	a.k.a	43	2	1996-10-11
pull up to the bumper	a.m. city	83	1	1994-04-15
hey world	a.r.e. weapons	96	1	2003-06-06
stet gang	a.r.e. weapons	72	1	2001-08-03
peated love	a.t.g.o.c.	38	2	1998-11-20
be the first to believe	a1	6	12	1999-07-02
caught in the middle	a1	2	18	2002-02-01
everytime / ady or not	a1	3	14	1999-01-01
like a rose	a1	6	13	2000-03-03
make it good	a1	11	9	2002-05-24
no mo	a1	6	19	2001-03-02
same old brand new you	a1	1	16	2000-11-17
summertime of our lives	a1	5	10	1999-09-10
take on me	a1	1	18	2000-09-08
baby	a1 & j1	98	1	2021-08-06
latest tnds	a1 & j1	2	21	2021-02-12
deal or no deal	a1 & j1/mabel	98	1	2022-07-01
night away (dance)	a1 & j1/tion wayne	11	16	2022-03-11
scary	a1 x j1/aitch	88	1	2023-10-27
(at your best) you a love	aaliyah	27	2	1994-10-14
4 page letter	aaliyah	24	2	1997-08-29
a you that somebody?	aaliyah	11	7	1998-09-11
age ain't nothing but a number	aaliyah	32	2	1995-03-10
back and forth	aaliyah	16	5	1994-07-01
don't know what to tell ya	aaliyah	22	3	2003-04-25
down with the clique	aaliyah	33	2	1995-05-12
got to give it up	aaliyah	37	2	1996-11-22
if your girl only knew	aaliyah	21	2	1996-08-23
if your girl only knew / one in a million	aaliyah	15	3	1997-05-23
journey to the past	aaliyah	22	3	1998-04-17
miss you	aaliyah	76	3	2003-01-31
mo than a woman	aaliyah	1	13	2002-01-18
rock the boat	aaliyah	12	9	2002-05-17
the one i gave my heart to / hot like fi	aaliyah	30	2	1997-11-21
the thing i like	aaliyah	33	2	1995-09-08
try again	aaliyah	5	15	2000-07-21
